openarenaG_800x600                          106
openarenaG_1024x768                         146
openarenaG_1920x1080                          305
openarenaG_2560x1440                           84
urbanterrorG_800x600                           35
urbanterrorG_1024x768                          42
urbanterrorG_1920x1080                          70
urbanterrorG_2560x1440                          30
unigine-valley_800x600                          232
unigine-valley_1024x768                          243
unigine-valley_1920x1080                         418
unigine-valley_2560x1440                          656
unigine-heaven_800x600                          312
unigine-heaven_1024x768                          315
unigine-heaven_1920x1080                         438
unigine-heaven_2560x1440                          720
glmark2_800x600                         332
glmark2_1024x768                         332
glmark2_1920x1080                         332
glmark2_2560x1440                         332
qgears_-image                          162
qgears_-render                         155
qgears_TEXT                          104
qgears_GEARSFANCY                         155
qgears_COMPO                          16
jxrend                          20
nexuiz_800x600                           24
nexuiz_1024x768                          30
nexuiz_1920x1080                          52
nexuiz_2560x1440                          52
xonotic_800x600                          886
xonotic_1024x768                         885
xonotic_1920x1080                          886
xonotic_2560x1440                          886
paraview_manyspheres                          362
paraview_waveletcontour                          779
paraview_waveletvolume                          31
indigobench_supercar                           61
indigobench_bedroom                           62
j2dbench_all                          361
j2dbench_images                          105
j2dbench_graphics                          245
j2dbench_text                          14
cassandra_write                          13,2011 +- 0,0205 seconds time elapsed  ( +-  0,16% )
cassandra_read                         15,36363 +- 0,00229 seconds time elapsed  ( +-  0,01% )
cassandra_mixed_1_1                          15,3821 +- 0,0147 seconds time elapsed  ( +-  0,10% )
cassandra_mixed_1_3                         15,38537 +- 0,00727 seconds time elapsed  ( +-  0,05% )
compilebench_initial_create                          177,730 +- 0,332 seconds time elapsed  ( +-  0,19% )
compilebench_compile                          177,813 +- 0,255 seconds time elapsed  ( +-  0,14% )
compilebench_read_compile_tree                          178,311 +- 0,507 seconds time elapsed  ( +-  0,28% )
smallpt                          25,0330 +- 0,0199 seconds time elapsed  ( +-  0,08% )
build-php                           98,258 +- 0,876 seconds time elapsed  ( +-  0,89% )
inkscape                           23,170 +- 0,595 seconds time elapsed  ( +-  2,57% )
rawtherapee                           91,279 +- 0,153 seconds time elapsed  ( +-  0,17% )
tjbench                           24,647 +- 0,104 seconds time elapsed  ( +-  0,42% )
darktable_masskrug.NEF                           12,339 +- 0,302 seconds time elapsed  ( +-  2,45% )
darktable_bench.SRW                          27,5008 +- 0,0449 seconds time elapsed  ( +-  0,16% )
darktable_server_room.NEF                           9,7137 +- 0,0282 seconds time elapsed  ( +-  0,29% )
rsvg                           15,940 +- 0,169 seconds time elapsed  ( +-  1,06% )
gegl_rotate-on-center                           47,787 +- 0,210 seconds time elapsed  ( +-  0,44% )
gegl_scale-size                           6,2516 +- 0,0143 seconds time elapsed  ( +-  0,23% )
gegl_antialias                          46,8933 +- 0,0490 seconds time elapsed  ( +-  0,10% )
gegl_cartoon                         120,9005 +- 0,0745 seconds time elapsed  ( +-  0,06% )
gegl_color-enhance                          67,5660 +- 0,0707 seconds time elapsed  ( +-  0,10% )
gegl_crop                           9,8387 +- 0,0453 seconds time elapsed  ( +-  0,46% )
gegl_wavelet-blur                          72,4022 +- 0,0893 seconds time elapsed  ( +-  0,12% )
gegl_reflect                          35,4075 +- 0,0478 seconds time elapsed  ( +-  0,13% )
gegl_tile-glass                          34,9449 +- 0,0288 seconds time elapsed  ( +-  0,08% )
renaissance_akka-uct                           13,180 +- 0,150 seconds time elapsed  ( +-  1,14% )
renaissance_reactors                           21,239 +- 0,184 seconds time elapsed  ( +-  0,87% )
renaissance_als                           10,676 +- 0,465 seconds time elapsed  ( +-  4,36% )
renaissance_naive-bayes                          13,0329 +- 0,0900 seconds time elapsed  ( +-  0,69% )
renaissance_page-rank                           31,301 +- 0,273 seconds time elapsed  ( +-  0,87% )
renaissance_db-shootout                           18,930 +- 0,409 seconds time elapsed  ( +-  2,16% )
renaissance_dotty                           8,1008 +- 0,0678 seconds time elapsed  ( +-  0,84% )
renaissance_finagle-chirper                            9,265 +- 0,132 seconds time elapsed  ( +-  1,42% )
java-jmh                         502,5793 +- 0,0256 seconds time elapsed  ( +-  0,01% )
schbench_2                         30,04409 +- 0,00981 seconds time elapsed  ( +-  0,03% )
schbench_4                         30,04251 +- 0,00517 seconds time elapsed  ( +-  0,02% )
schbench_8                         30,05289 +- 0,00592 seconds time elapsed  ( +-  0,02% )
osbench_create_files                           27,282 +- 0,293 seconds time elapsed  ( +-  1,07% )
osbench_create_processes                           21,384 +- 0,178 seconds time elapsed  ( +-  0,83% )
osbench_create_threads                          18,1413 +- 0,0703 seconds time elapsed  ( +-  0,39% )
osbench_launch_programs                         10,38437 +- 0,00934 seconds time elapsed  ( +-  0,09% )
osbench_mem_alloc                          22,7167 +- 0,0238 seconds time elapsed  ( +-  0,10% )
tiobench_write                           203,95 +- 3,49 seconds time elapsed  ( +-  1,71% )
tiobench_read                           203,86 +- 5,95 seconds time elapsed  ( +-  2,92% )
