Tasks	Stock	Meltdown	Spectre	MDS
ospray_xfrog_forest	10166.20	10138.22	10070.64	10111.70
ospray_magnetic_reconnection	1801.84	1804.92	1788.59	1794.71
embree_crown	7946.05	7987.74	7926.51	7918.03
embree_asian_dragon	6468.34	6485.86	6451.98	6438.13
embree_asian_dragon_obj	7605.81	7601.69	7577.91	7573.28
iperf_tcp	290.97	296.56	291.63	293.65
iperf_udp	295.33	291.84	289.48	292.84
oidn	1596.07	1591.65	1608.90	1596.05
pyperformance-run_2to3	1485.14	1453.08	1467.82	1438.17
pyperformance-run_chaos	542.50	541.64	544.67	540.32
pyperformance-run_crypto_pyaes	487.93	488.32	491.79	486.70
pyperformance-run_django_template	740.50	743.65	739.12	737.92
pyperformance-run_float	496.80	490.02	494.72	493.68
pyperformance-run_go	1085.67	1075.56	1074.38	1070.01
pyperformance-run_json_loads	595.80	590.20	590.63	589.85
pyperformance-run_nbody	524.37	521.02	524.55	518.65
pyperformance-run_pathlib	776.37	756.66	757.28	744.75
pyperformance-run_pickle_pure_python	704.82	701.21	698.96	698.18
pyperformance-run_python_startup	1938.51	1902.06	1923.07	1894.00
pyperformance-run_raytrace	2110.82	2107.98	2105.94	2097.58
pyperformance-run_regex_compile	887.58	884.28	883.99	881.63
rays1bench	1867.04	1862.88	1858.71	1878.68
cp2k	22520.92	22332.24	21820.20	21691.42
svt-av1	2192.94	2174.68	2151.62	2163.01
dav1d_summer_nature_1080pivf	755.64	755.10	752.10	749.67
dav1d_summer_nature_4kivf	2941.17	2935.22	2924.21	2918.53
dav1d_chimera_8b_1080pivf	2280.70	2275.70	2269.17	2262.58
dav1d_chimera_10b_1080pivf	11522.82	11514.58	11473.82	11461.19
cpuminer-opt_lbry	1857.60	1867.06	1850.72	1849.67
cpuminer-opt_sha256t	1896.41	1895.70	1884.47	1885.43
cpuminer-opt_skein	1865.70	1862.03	1854.90	1853.74
cpuminer-opt_myr-gr	1817.14	1812.58	1804.65	1803.26
cpuminer-opt_m7m	2084.59	2091.39	2076.46	2058.82
cpuminer-opt_deep	1995.62	1989.82	1968.46	1964.41
vpxenc	1208.30	1201.78	1194.88	1196.50
mt-dgemm	13080.66	12910.25	12537.49	12934.40
deepspeech	2251.70	2235.34	2230.39	2238.72
octave-benchmark	277.52	274.88	272.46	267.50
build-llvm	45784.55	45569.43	45488.38	45302.54
build2	10419.18	10352.13	10329.03	10282.77
build-gdb	5791.14	5695.86	5729.98	5666.76
encode-flac	424.45	420.55	420.80	419.48
openarenaG_800x600	4992	5091	5057	4989
openarenaG_1024x768	7204	7168	7175	7181
openarenaG_1920x1080	15811	15758	15697	15706
openarenaG_2560x1440	3816	3807	3784	3800
urbanterrorG_800x600	1142	1120	1125	1128
urbanterrorG_1024x768	1486	1471	1502	1473
urbanterrorG_1920x1080	2800	2791	2786	2784
urbanterrorG_2560x1440	925	917	916	917
unigine-valley_800x600	10161	10181	10152	10136
unigine-valley_1024x768	10959	10997	11000	10920
unigine-valley_1920x1080	19942	20047	20053	19978
unigine-valley_2560x1440	32239	32382	32402	32276
unigine-heaven_800x600	12751	12745	12716	12704
unigine-heaven_1024x768	13483	13439	13406	13400
unigine-heaven_1920x1080	20295	20361	20295	20302
unigine-heaven_2560x1440	34638	34813	34852	34835
glmark2_800x600	13149	13127	13023	13007
glmark2_1024x768	13273	13247	13173	13199
glmark2_1920x1080	13152	13120	13019	13091
glmark2_2560x1440	13456	13382	13312	13361
qgears_-image	4081	3799	3767	3768
qgears_-render	3900	3622	3593	3590
qgears_TEXT	2595	2333	2322	2330
qgears_GEARSFANCY	3887	3617	3595	3590
qgears_COMPO	719	391	388	390
jxrend	439	445	446	448
nexuiz_800x600	962	943	941	941
nexuiz_1024x768	1291	1275	1273	1272
nexuiz_1920x1080	2496	2466	2458	2463
nexuiz_2560x1440	2499	2465	2463	2461
xonotic_800x600	45011	44993	44967	44926
xonotic_1024x768	44925	44889	44937	44938
xonotic_1920x1080	44873	44904	44916	44911
xonotic_2560x1440	44939	44992	44905	44934
paraview_manyspheres	7818	7842	7816	7886
paraview_waveletcontour	19423	19349	19408	19324
paraview_waveletvolume	1367	1372	1375	1367
indigobench_supercar	3101	3136	3116	3143
indigobench_bedroom	3086	3115	3106	3108
j2dbench_all	13232	13153	13168	13155
j2dbench_images	3796	3780	3780	3770
j2dbench_graphics	9078	9019	9039	9039
j2dbench_text	393	387	392	391
